date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-11-01 00:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,8,9,11,9,23,8,82,0.0,1003,11,10,219,16,Paris
2021-11-01 01:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,8,9,11,9,25,13,81,0.0,1003,11,10,217,17,Paris
2021-11-01 02:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,7,8,10,8,27,18,80,0.0,1003,10,10,214,18,Paris
2021-11-01 03:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,7,8,10,8,28,23,80,0.0,1003,10,10,212,18,Paris
2021-11-01 04:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,7,8,10,8,28,29,79,0.0,1003,10,10,214,18,Paris
2021-11-01 05:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,7,8,10,8,28,36,78,0.0,1003,10,10,216,19,Paris
2021-11-01 06:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,7,8,11,8,28,43,76,0.0,1003,11,10,219,19,Paris
2021-11-01 07:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,6,8,10,8,27,32,76,0.0,1003,10,10,220,18,Paris
2021-11-01 08:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,6,8,10,8,25,21,76,0.0,1004,10,10,222,17,Paris
2021-11-01 09:00:00,15,10,0.0,7.0,4,8,02:47 AM,04:25 PM,07:38 AM,05:30 PM,6,8,10,8,23,11,76,0.0,1004,10,10,223,17,Paris
