Date et heure de comptage,Date et heure de comptage,Débit horaire,Taux d'occupation,filename,Jour de la semaine_0,Jour de la semaine_1,Jour de la semaine_2,Jour de la semaine_3,Jour de la semaine_4,Jour de la semaine_5,Jour de la semaine_6,Date,Jour férié,Vacances scolaires,Durée avant les prochaines vacances scolaires,humidity,tempC,visibility,cloudcover,precipMM
2021-11-01 04:00:00,2021-11-01 04:00:00,163.0,1.94556,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 20:00:00,,,,,
2021-11-01 05:00:00,2021-11-01 05:00:00,125.0,1.67778,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 19:00:00,,,,,
2021-11-01 06:00:00,2021-11-01 06:00:00,115.0,1.58444,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 18:00:00,,,,,
2021-11-01 07:00:00,2021-11-01 07:00:00,129.0,1.56222,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 17:00:00,,,,,
2021-11-01 08:00:00,2021-11-01 08:00:00,144.0,1.94278,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 16:00:00,,,,,
2021-11-01 09:00:00,2021-11-01 09:00:00,189.0,2.21778,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 15:00:00,,,,,
2021-11-01 10:00:00,2021-11-01 10:00:00,251.0,3.01889,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 14:00:00,,,,,
2021-11-01 11:00:00,2021-11-01 11:00:00,308.0,3.78055,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 13:00:00,,,,,
2021-11-01 12:00:00,2021-11-01 12:00:00,400.0,5.55834,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 12:00:00,,,,,
2021-11-01 13:00:00,2021-11-01 13:00:00,417.0,5.07722,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 11:00:00,,,,,
2021-11-01 14:00:00,2021-11-01 14:00:00,445.0,5.35611,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 10:00:00,,,,,
2021-11-01 15:00:00,2021-11-01 15:00:00,425.0,5.135,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 09:00:00,,,,,
2021-11-01 16:00:00,2021-11-01 16:00:00,474.0,6.03833,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 08:00:00,,,,,
2021-11-01 17:00:00,2021-11-01 17:00:00,499.0,6.65778,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 07:00:00,,,,,
2021-11-01 18:00:00,2021-11-01 18:00:00,465.0,6.07222,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 06:00:00,,,,,
2021-11-01 19:00:00,2021-11-01 19:00:00,469.0,6.00056,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 05:00:00,,,,,
2021-11-01 20:00:00,2021-11-01 20:00:00,476.0,5.75111,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 04:00:00,,,,,
2021-11-01 21:00:00,2021-11-01 21:00:00,437.0,5.115,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 03:00:00,,,,,
2021-11-01 22:00:00,2021-11-01 22:00:00,304.0,3.55833,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 02:00:00,,,,,
2021-11-01 23:00:00,2021-11-01 23:00:00,296.0,3.79445,saints-peres.csv,1,0,0,0,0,0,0,2021-11-01,True,True,46 days 01:00:00,,,,,
2021-11-02 00:00:00,2021-11-02 00:00:00,285.0,3.33834,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,46 days 00:00:00,,,,,
2021-11-02 01:00:00,2021-11-02 01:00:00,176.0,2.07445,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 23:00:00,,,,,
2021-11-02 02:00:00,2021-11-02 02:00:00,94.0,1.26,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 22:00:00,,,,,
2021-11-02 03:00:00,2021-11-02 03:00:00,62.0,0.86389,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 21:00:00,,,,,
2021-11-02 04:00:00,2021-11-02 04:00:00,27.0,0.44834,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 20:00:00,,,,,
2021-11-02 05:00:00,2021-11-02 05:00:00,38.0,0.54611,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 19:00:00,,,,,
2021-11-02 06:00:00,2021-11-02 06:00:00,79.0,0.97667,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 18:00:00,,,,,
2021-11-02 07:00:00,2021-11-02 07:00:00,191.0,2.42889,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 17:00:00,,,,,
2021-11-02 08:00:00,2021-11-02 08:00:00,315.0,4.67556,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 16:00:00,,,,,
2021-11-02 09:00:00,2021-11-02 09:00:00,519.0,7.54333,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 15:00:00,,,,,
2021-11-02 10:00:00,2021-11-02 10:00:00,617.0,7.48611,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 14:00:00,,,,,
2021-11-02 11:00:00,2021-11-02 11:00:00,522.0,6.83778,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 13:00:00,,,,,
2021-11-02 12:00:00,2021-11-02 12:00:00,481.0,6.85056,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 12:00:00,,,,,
2021-11-02 13:00:00,2021-11-02 13:00:00,632.0,9.05778,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 11:00:00,,,,,
2021-11-02 14:00:00,2021-11-02 14:00:00,606.0,9.53834,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 10:00:00,,,,,
2021-11-02 15:00:00,2021-11-02 15:00:00,539.0,7.94833,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 09:00:00,,,,,
2021-11-02 16:00:00,2021-11-02 16:00:00,611.0,7.58389,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 08:00:00,,,,,
2021-11-02 17:00:00,2021-11-02 17:00:00,619.0,8.14834,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 07:00:00,,,,,
2021-11-02 18:00:00,2021-11-02 18:00:00,635.0,9.25611,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 06:00:00,,,,,
2021-11-02 19:00:00,2021-11-02 19:00:00,671.0,7.85167,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 05:00:00,,,,,
2021-11-02 20:00:00,2021-11-02 20:00:00,661.0,7.53111,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 04:00:00,,,,,
2021-11-02 21:00:00,2021-11-02 21:00:00,514.0,6.25,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 03:00:00,,,,,
2021-11-02 22:00:00,2021-11-02 22:00:00,395.0,4.56222,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 02:00:00,,,,,
2021-11-02 23:00:00,2021-11-02 23:00:00,387.0,4.445,saints-peres.csv,0,1,0,0,0,0,0,2021-11-02,False,True,45 days 01:00:00,,,,,
2021-11-03 00:00:00,2021-11-03 00:00:00,366.0,4.20556,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,45 days 00:00:00,,,,,
2021-11-03 01:00:00,2021-11-03 01:00:00,242.0,2.97833,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 23:00:00,,,,,
2021-11-03 02:00:00,2021-11-03 02:00:00,129.0,1.57389,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 22:00:00,,,,,
2021-11-03 03:00:00,2021-11-03 03:00:00,68.0,0.95778,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 21:00:00,,,,,
2021-11-03 04:00:00,2021-11-03 04:00:00,41.0,0.65445,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 20:00:00,,,,,
2021-11-03 05:00:00,2021-11-03 05:00:00,42.0,0.59389,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 19:00:00,,,,,
2021-11-03 06:00:00,2021-11-03 06:00:00,89.0,1.19444,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 18:00:00,,,,,
2021-11-03 07:00:00,2021-11-03 07:00:00,198.0,2.39611,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 17:00:00,,,,,
2021-11-03 08:00:00,2021-11-03 08:00:00,379.0,5.06222,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 16:00:00,,,,,
2021-11-03 09:00:00,2021-11-03 09:00:00,548.0,7.87055,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 15:00:00,,,,,
2021-11-03 10:00:00,2021-11-03 10:00:00,682.0,9.09889,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 14:00:00,,,,,
2021-11-03 11:00:00,2021-11-03 11:00:00,611.0,9.10167,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 13:00:00,,,,,
2021-11-03 12:00:00,2021-11-03 12:00:00,594.0,9.12111,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 12:00:00,,,,,
2021-11-03 13:00:00,2021-11-03 13:00:00,658.0,12.68222,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 11:00:00,,,,,
2021-11-03 14:00:00,2021-11-03 14:00:00,600.0,8.74111,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 10:00:00,,,,,
2021-11-03 15:00:00,2021-11-03 15:00:00,561.0,7.82389,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 09:00:00,,,,,
2021-11-03 16:00:00,2021-11-03 16:00:00,577.0,8.06056,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 08:00:00,,,,,
2021-11-03 17:00:00,2021-11-03 17:00:00,646.0,9.26167,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 07:00:00,,,,,
2021-11-03 18:00:00,2021-11-03 18:00:00,612.0,7.7,saints-peres.csv,0,0,1,0,0,0,0,2021-11-03,False,True,44 days 06:00:00,,,,,
